S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
180,Vijay Pal Singh Tomar,Uttar Pradesh,Meerut,03.04.2018 to 02.04.2024,22,7.5,14.5
181,Vishambhar Prasad Nishad,Uttar Pradesh,Banda/Chitrakoot,05.07.2016 to 04.07.2022,22,15,7
182,Rewati Raman Singh,Uttar Pradesh,Allahabad,05.07.2016 to 04.07.2022,22,17.5,4.5
183,Sakaldeep Rajbhar,Uttar Pradesh,Ballia,03.04.2018 to 02.04.2024,22,10,12
184,Satish Chandra Misra,Uttar Pradesh,Lucknow,05.07.2016 to 04.07.2022,22,0,22
185,Anil Agarwal,Uttar Pradesh,Ghaziabad,03.04.2018 to 02.04.2024,12,7.5,4.5
186,Anil Kumar Jain,Uttar Pradesh,Firozabad,03.04.2018 to 02.04.2024,12,7.5,4.5
187,Harnath Singh Yadav,Uttar Pradesh,Etah,03.04.2018 to 02.04.2024,22,10,12
188,Sanjay Seth,Uttar Pradesh,Lucknow,16.09.2019 to 04.07.2022,4.5,2.5,2
189,Shiv Pratap Shukla,Uttar Pradesh,Gorakhpur,05.07.2016 to 04.07.2022,22,17.5,4.5
190,Sudhanshu Trivedi,Uttar Pradesh,Lucknow,09.10.2019 to 02.04.2024,12,2.5,9.5
191,Sukhram Singh Yadav,Uttar Pradesh,Kanpur Nagar,05.07.2016 to 04.07.2022,22,10,12
192,Surendra Singh Nagar,Uttar Pradesh,Gautambudh Nagar,16.09.2019 to 04.07.2022,4.5,2.5,2
193,Syed Zafar Islam,Uttar Pradesh,Moradabad,04.09.2020 to 04.07.2022,2,2,0
194,Jaya Bachchan,Uttar Pradesh,Bhadohi,03.04.2018 to 02.04.2024,22,7.5,14.5
195,Kanta Kardam,Uttar Pradesh,Hapur,03.04.2018 to 02.04.2024,22,10,12
196,Arun Singh,Uttar Pradesh,Mirzapur,26.11.2020 to 25.11.2026,22,2,20
197,B L Verma,Uttar Pradesh,Nodal District Awaited,26.11.2020 to 25.11.2026,22,0,22
198,Neeraj Shekhar,Uttar Pradesh,Ballia,26.11.2020 to 25.11.2026,22,2,20
199,Ram Gopal Yadav,Uttar Pradesh,Nodal District Awaited,26.11.2020 to 25.11.2026,0,0,0
200,Seema Dwivedi,Uttar Pradesh,Jaunpur,26.11.2020 to 25.11.2026,22,2,20
201,Ram Ji,Uttar Pradesh,Lakhimpur Kheri,26.11.2020 to 25.11.2026,22,2,20
202,Geeta Urf Chandraprabha,Uttar Pradesh,Orraiya,26.11.2020 to 25.11.2026,22,2,20
203,Hardwar Dubey,Uttar Pradesh,Agra,26.11.2020 to 25.11.2026,22,2,20
204,Brij Lal,Uttar Pradesh,Sidharth Nagar,26.11.2020 to 25.11.2026,22,2,20
205,Jai Prakash Nishad,Uttar Pradesh,Gorakhpur,17.08.2020 to 04.07.2022,4.5,2,2.5
206,Hardeep singh Puri,Uttar Pradesh,Sonbhadra,26.11.2020 to 25.11.2026,22,2,20
207,Anil Baluni,Uttarakhand,Paudi Garhwal,03.04.2018 to 02.04.2024,22,5,17
208,Pradeep Bansal,Uttarakhand,Dehradun,26.11.2020 to 25.11.2026,22,2,20
209,Pradeep Tamta,Uttarakhand,Bageshwar,04.07.2016 to 03.07.2022,22,17.5,4.5
210,Nadimul Haque,West Bengal,Kolkata,03.04.2018 to 02.04.2024,22,7.5,14.5
211,Dola Sen,West Bengal,Kolkata,19.08.2017 to 18.08.2023,22,12.5,9.5
212,Sushmita Dev,West Bengal,Kolkata,27.09.2021 to 26.09.2027,29.5,2,27.5
213,Derek o Brien,West Bengal,Kolkata,19.08.2017 to 18.08.2023,22,5,17
214,Abhishek Manu Singhvi,West Bengal,Howrah,03.04.2018 to 02.04.2024,22,5,17
215,Abir Ranjan Biswas,West Bengal,Kolkata,03.04.2018 to 02.04.2024,22,7.5,14.5
216,Bikash Ranjan Bhattacharya,West Bengal,Kolkata,03.04.2020 to 02.04.2026,22,2,20
217,P. Bhattacharya,West Bengal,Birbhum,19.08.2017 to 18.08.2023,22,10,12
218,Santanu Sen,West Bengal,Kolkata,03.04.2018 to 02.04.2024,22,7.5,14.5
219,Subhasish Chakrobarty,West Bengal,Kolkata,03.04.2018 to 02.04.2024,22,7.5,14.5
220,Subrata Bakshi,West Bengal,Kolkata,03.04.2020 to 02.04.2026,22,2,20
221,Sukhendu Sekhar Ray,West Bengal,Kolkata,19.08.2017 to 18.08.2023,22,7.5,14.5
222,Shanta Chhetri,West Bengal,Kolkata,19.08.2017 to 18.08.2023,22,12.5,9.5
223,Luiznho Joaquim Falerio,West Bengal,Nodal District Awaited,24.11.2021 to 23.11.2027,29.5,0,29.5
224,Mausam Noor,West Bengal,Nodal District Awaited,03.04.2020 to 02.04.2026,22,0,22
225,Jawahar Sircar,West Bengal,Nodal District Awaited,03.08.2021 to 02.08.2027,29.5,0,29.5
