Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
283,Uttar Pradesh,Neeraj Shekhar,Ballia,22.5,28.99,18.61
284,Uttar Pradesh,Shri Baburam Nishad,Hamirpur,2.5,0,0
285,Uttar Pradesh,Shri Veer Singh,Moradabad,62.03,70.26,61.06
286,Uttar Pradesh,Shri. Sukhram Singh Yadav,Kanpur Nagar,15,12.9,12.25
287,Uttar Pradesh,Vijay Pal Singh Tomar,Meerut,12,12.01,12.16
288,Uttar Pradesh,Shri Raja Ram,Azamgarh,50.03,49.12,46.67
289,Uttar Pradesh,Javed Ali Khan,Moradabad,27.5,25.78,25.25
290,Uttar Pradesh,Shri. Sanjay Seth,Lucknow,7,6.63,5.4
291,Uttar Pradesh,Sh. Amar Singh,Varanasi,5,4.57,2.38
292,Uttar Pradesh,Shri Kapil Sibal,Muzaffarnagar,2.5,0,0
293,Uttar Pradesh,Dr Laxmikant Bajpayee,Meerut,2.5,0,0
294,Uttar Pradesh,Arun Jaitley,Rae Bareli,2.5,0,2.8
295,Uttar Pradesh,Ashok Bajpai,Lucknow,12,10.43,9.17
296,Uttar Pradesh,Shri. B. l. Verma,Budaun,2,2,1.68
297,Uttar Pradesh,Shri Hardeep Singh Puri,Sonbhadra,15,15.33,12.35
298,Uttar Pradesh,Shri. Neeraj Shekhar,Ballia,2,0,0
299,Uttar Pradesh,Harnath Singh Yadav,Etah,14.5,12.31,11.09
300,Uttar Pradesh,Vishambhar Prasad Nishad,Banda,30,30.91,28.48
301,Uttar Pradesh,Shri Jayant Chaudhary,Baghpat,2.5,0,0
302,Uttar Pradesh,Smt. Darshana Singh,Chandauli,2.5,1.49,1.54
303,Uttar Pradesh,Shri Mithilesh Kumar,Shahjahanpur,2.5,0,0
304,Uttar Pradesh,Dr K. Laxman,Ghaziabad,2.5,1.8,0.05
305,Uttar Pradesh,Sh. Ashok Siddharth,Farrukhabad,22,20.61,20.11
306,Uttar Pradesh,Shri. Brijlal,Siddharth Nagar,4.5,2.59,1.8
307,Uttar Pradesh,Smt Geeta Alias Chandraprabha,Auraiya,4.5,2.09,1.87
308,Uttar Pradesh,Shri. Ramji,Kheri,7,4.58,2.78
309,Uttar Pradesh,Dr Radha Mohan Das Agarwal,Gorakhpur,2.5,2.54,0
310,Uttar Pradesh,Shri Satish Chandra Misra,Lucknow,5,51.86,1.5
311,Uttar Pradesh,Kanta Kardam,Hapur,14.5,12.41,11.56
312,Uttar Pradesh,Shri. Surendra Singh Nagar,Bulandshahr,15,15.7,13.97
313,Uttar Pradesh,Hardwar Dubey,Agra,4.5,4.24,3.09
314,Uttar Pradesh,Shri. Jai Prakash Nishad,Gorakhpur,4.5,7.07,1.64
315,Uttar Pradesh,Dr Chandra Pal Singh Yadav,Jhansi,20,18.04,16.92
316,Uttar Pradesh,Shri. Surendra Singh Nagar,Gautam Budh Nagar,4.5,2.51,2.55
317,Uttar Pradesh,Shri Surendra Singh Nagar,Gautam Budh Nagar,2.5,0,0
318,Uttar Pradesh,Shri Satish Chandra Misra,Lucknow,6.03,7.61,7.14
319,Uttar Pradesh,Smt Sangeeta Yadav,Deoria,2.5,0,0
320,Uttar Pradesh,Shri. Neeraj Shekhar,Ballia,2.5,0,0
321,Uttar Pradesh,Shri Ram Gopal Yadav,Etawah,50.03,48.24,47.78
322,Uttar Pradesh,Anil Kumar Jain,Firozabad,10,7.41,5.73
323,Uttar Pradesh,Shri. Arun Singh,Mirzapur,2.5,2.42,2.38
324,Uttar Pradesh,Anil Agarwal,Ghaziabad,10,8.39,6.29
325,Uttar Pradesh,Shri Rewati Raman Singh,Allahabad,22,28.38,17.73
326,Uttar Pradesh,Shri. Shiv Pratap Shukla,Gorakhpur,19.5,22.91,15.77
327,Uttarakhand,Shri. Pradeep Tamta,Bageshwar,22,19.42,18.21
328,Uttarakhand,Shri. Naresh Bansal,Dehradun,2,0,0
329,Uttarakhand,Dr Kalpana Saini,Haridwar,2.5,0,0
330,Uttarakhand,Anil Baluni,Pauri Garhwal,5,2.09,0.6
331,Uttarakhand,Raj Babbar,Dehradun,25,25.07,23.5
332,West Bengal,Ms Sushmita Dev,Kolkata,2,2.03,0.94
333,West Bengal,Shri. Luizinho Joaquim Faleiro,Kolkata,4.5,4.41,4.5
334,West Bengal,Abir Ranjan Biswas,Kolkata,10,7.54,5.92
335,West Bengal,Shri. P. Bhattacharya,Birbhum,14.5,14.13,14.36
336,West Bengal,Sh. Derek O Brien,Kolkata,5,6.58,5.37
337,West Bengal,Manas Rajan Bhunia,Kolkata,5,4.64,4.62
338,West Bengal,Shri. Bikash Ranjan Bhattacharya,Kolkata,4.5,6.08,2
